iter	Passed	Remaining
556	3975	3161
557	3987	3158
558	3995	3152
559	4005	3147
560	4014	3141
561	4021	3134
562	4030	3128
563	4041	3124
564	4054	3121
565	4066	3117
566	4070	3108
567	4079	3102
568	4086	3095
569	4099	3092
570	4106	3085
571	4114	3078
572	4121	3071
573	4133	3067
574	4140	3060
575	4152	3056
576	4162	3051
577	4171	3045
578	4181	3040
579	4188	3032
580	4197	3027
581	4206	3021
582	4215	3015
583	4231	3014
584	4245	3011
585	4261	3011
586	4272	3006
587	4280	2999
588	4285	2990
589	4292	2983
590	4301	2976
591	4309	2970
592	4314	2961
593	4323	2955
594	4331	2948
595	4338	2940
596	4346	2934
597	4353	2926
598	4362	2920
599	4368	2912
600	4380	2908
601	4387	2900
602	4394	2893
603	4401	2885
604	4408	2878
605	4414	2870
606	4422	2863
607	4428	2855
608	4434	2847
609	4441	2839
610	4447	2831
611	4457	2825
612	4463	2818
613	4474	2812
614	4482	2806
615	4489	2798
616	4497	2791
617	4506	2785
618	4512	2777
619	4520	2770
620	4527	2763
621	4537	2757
622	4542	2748
623	4550	2742
624	4557	2734
625	4562	2726
626	4571	2719
627	4577	2711
628	4585	2704
629	4592	2697
630	4601	2690
631	4606	2682
632	4614	2675
633	4620	2667
634	4626	2659
635	4635	2652
636	4640	2644
637	4649	2637
638	4657	2631
639	4666	2624
640	4672	2616
641	4679	2609
642	4686	2602
643	4691	2593
644	4701	2587
645	4706	2579
646	4717	2574
647	4724	2566
648	4732	2559
649	4737	2550
650	4742	2542
651	4749	2535
652	4755	2527
653	4764	2520
654	4771	2513
655	4779	2506
656	4783	2497
657	4787	2488
658	4794	2481
659	4800	2472
660	4804	2464
661	4811	2456
662	4819	2449
663	4824	2441
664	4831	2434
665	4836	2425
666	4843	2418
667	4849	2410
668	4854	2402
669	4863	2395
670	4867	2386
671	4877	2380
672	4882	2372
673	4887	2363
674	4896	2357
675	4900	2348
676	4906	2340
677	4913	2333
678	4917	2324
679	4923	2316
680	4929	2309
681	4934	2300
682	4941	2293
683	4946	2285
684	4951	2276
685	4960	2270
686	4965	2262
687	4972	2255
688	4979	2247
689	4984	2239
690	4992	2232
691	4996	2224
692	5001	2215
693	5011	2209
694	5016	2201
695	5025	2195
696	5030	2186
697	5036	2179
698	5042	2171
699	5046	2162
700	5053	2155
701	5060	2148
702	5067	2140
703	5076	2134
704	5081	2126
705	5089	2119
706	5095	2111
707	5103	2104
708	5108	2096
709	5112	2088
710	5120	2081
711	5124	2072
712	5129	2064
713	5136	2057
714	5141	2049
715	5145	2041
716	5152	2033
717	5158	2026
718	5169	2020
719	5173	2011
720	5178	2003
721	5185	1996
722	5190	1988
723	5194	1980
724	5203	1973
725	5208	1965
726	5216	1958
727	5222	1951
728	5227	1943
729	5234	1936
730	5239	1927
731	5243	1919
732	5254	1914
733	5263	1907
734	5273	1901
735	5288	1897
736	5301	1891
737	5310	1885
738	5319	1878
739	5327	1871
740	5337	1865
741	5342	1857
742	5349	1850
743	5354	1842
744	5362	1835
745	5368	1827
746	5372	1819
747	5381	1813
748	5386	1805
749	5390	1796
750	5401	1790
751	5406	1783
752	5414	1776
753	5419	1768
754	5423	1760
755	5431	1752
756	5435	1744
757	5439	1736
758	5448	1730
759	5453	1722
760	5460	1714
761	5468	1708
762	5474	1700
763	5480	1693
764	5485	1685
765	5492	1677
766	5500	1670
767	5504	1662
768	5511	1655
769	5516	1647
770	5520	1639
771	5528	1632
772	5532	1624
773	5536	1616
774	5543	1609
775	5548	1601
776	5552	1593
777	5561	1586
778	5566	1579
779	5572	1571
780	5580	1564
781	5585	1557
782	5593	1550
783	5597	1542
784	5602	1534
785	5610	1527
786	5615	1519
787	5620	1512
788	5626	1504
789	5630	1496
790	5636	1489
791	5642	1481
792	5646	1473
793	5652	1466
794	5659	1459
795	5666	1452
796	5675	1445
797	5680	1437
798	5688	1431
799	5693	1423
800	5697	1415
801	5705	1408
802	5709	1400
803	5714	1393
804	5722	1386
805	5726	1378
806	5730	1370
807	5739	1363
808	5743	1356
809	5751	1349
810	5756	1341
811	5765	1334
812	5771	1327
813	5775	1319
814	5781	1312
815	5787	1304
816	5791	1297
817	5797	1290
818	5804	1282
819	5808	1275
820	5815	1267
821	5820	1260
822	5824	1252
823	5830	1245
824	5836	1238
825	5840	1230
826	5847	1223
827	5852	1215
828	5860	1208
829	5871	1202
830	5877	1195
831	5884	1188
832	5888	1180
833	5894	1173
834	5900	1165
835	5904	1158
836	5912	1151
837	5917	1143
838	5921	1136
839	5929	1129
840	5933	1121
841	5938	1114
842	5945	1107
843	5950	1099
844	5954	1092
845	5964	1085
846	5969	1078
847	5979	1071
848	5986	1064
849	5992	1057
850	5998	1050
851	6002	1042
852	6009	1035
853	6014	1028
854	6018	1020
855	6025	1013
856	6030	1006
857	6045	1000
858	6051	993
859	6060	986
860	6067	979
861	6075	972
862	6082	965
863	6092	958
864	6097	951
865	6108	945
866	6113	937
867	6118	930
868	6126	923
869	6130	916
870	6135	908
871	6142	901
872	6146	894
873	6151	886
874	6160	880
875	6165	872
876	6175	866
877	6185	859
878	6192	852
879	6200	845
880	6211	839
881	6220	832
882	6227	825
883	6239	818
884	6244	811
885	6248	803
886	6257	797
887	6265	790
888	6274	783
889	6279	776
890	6291	769
891	6296	762
892	6303	755
893	6311	748
894	6322	741
895	6328	734
896	6338	727
897	6345	720
898	6355	714
899	6363	707
900	6381	701
901	6396	695
902	6408	688
903	6412	681
904	6424	674
905	6436	667
906	6443	660
907	6456	654
908	6461	646
909	6475	640
910	6484	633
911	6492	626
912	6499	619
913	6507	612
914	6511	604
915	6519	597
916	6524	590
917	6529	583
918	6538	576
919	6542	568
920	6550	561
921	6555	554
922	6561	547
923	6569	540
924	6574	533
925	6583	526
926	6590	518
927	6595	511
928	6601	504
929	6606	497
930	6611	490
931	6618	482
932	6622	475
933	6628	468
934	6633	461
935	6638	453
936	6643	446
937	6650	439
938	6654	432
939	6661	425
940	6670	418
941	6677	411
942	6683	403
943	6687	396
944	6695	389
945	6700	382
946	6705	375
947	6713	368
948	6717	361
949	6722	353
950	6729	346
951	6734	339
952	6738	332
953	6745	325
954	6750	318
955	6754	310
956	6765	303
957	6777	297
958	6782	289
959	6786	282
960	6794	275
961	6798	268
962	6803	261
963	6811	254
964	6815	247
965	6820	240
966	6828	233
967	6833	225
968	6840	218
969	6847	211
970	6851	204
971	6860	197
972	6866	190
973	6874	183
974	6883	176
975	6891	169
976	6896	162
977	6901	155
978	6910	148
979	6914	141
980	6921	134
981	6926	126
982	6930	119
983	6936	112
984	6942	105
985	6946	98
986	6953	91
987	6961	84
988	6970	77
989	6976	70
990	6982	63
991	6990	56
992	6995	49
993	7000	42
994	7006	35
995	7010	28
996	7016	21
997	7022	14
998	7026	7
999	7031	0
